symbol,symbol_type,exchange_name,description
GSK.L,stock,LSE,
BDEV.L,stock,LSE,
AV.L,stock,LSE,
SGE.L,stock,LSE,
PSON.L,stock,LSE,
ABF.L,stock,LSE,
LSEG.L,stock,LSE,
BA.L,stock,LSE,
ANTO.L,stock,LSE,
WTB.L,stock,LSE,
ADM.L,stock,LSE,
UU.L,stock,LSE,
ULVR.L,stock,LSE,
SSE.L,stock,LSE,
STAN.L,stock,LSE,
INF.L,stock,LSE,
WEIR.L,stock,LSE,
SVT.L,stock,LSE,
STJ.L,stock,LSE,
SMIN.L,stock,LSE,
MRO.L,stock,LSE,
SN.L,stock,LSE,
ITRK.L,stock,LSE,
MNDI.L,stock,LSE,
SBRY.L,stock,LSE,
CRDA.L,stock,LSE,
NG.L,stock,LSE,
IMI.L,stock,LSE,
BT-A.L,stock,LSE,
SGRO.L,stock,LSE,
SDR.L,stock,LSE,
RTO.L,stock,LSE,
CPG.L,stock,LSE,
ICP.L,stock,LSE,
LAND.L,stock,LSE,
SMT.L,stock,LSE,
HLMA.L,stock,LSE,
RMV.L,stock,LSE,
SEBA,stock,FSX,
SWED.A,stock,OMX,
JUP-USD,crypto,Crypto,
PYTH-USD,crypto,Crypto,
JTO-USD,crypto,Crypto,
MYRO-USD,crypto,Crypto,
MSTR,stock,NASDAQ,
BEI.DE,stock,XETR,
AIL.DE,stock,XETR,
ZAL.DE,stock,XETR,
PARSN,stock,BIST,
RDDTX,stock,NASDAQ,
AVGO,stock,NASDAQ,
RDDT,stock,NYSE,
UNAC,stock,MOEX,
UWGN,stock,MOEX,
VSMO,stock,MOEX,
IRKT,stock,MOEX,
CGC,stock,NASDAQ,
FLR-USD,crypto,Crypto,
CFX-USD,crypto,Crypto,
AZN,stock,NASDAQ,
FUSN,stock,NASDAQ,
TERUMO,stock,JPX,
BAYRK,stock,BIST,
OPTI-USD,crypto,Crypto,
EOAN.DE,stock,XETR,
FRE.DE,stock,XETR,
HNR1.DE,stock,XETR,
HEN3.DE,stock,XETR,
IFX.DE,stock,XETR,
MRK.DE,stock,XETR,
MTX.DE,stock,XETR,
MUV2.DE,stock,XETR,
RWE.DE,stock,XETR,
SRT3.DE,stock,XETR,
ENR.DE,stock,XETR,
SHL.DE,stock,XETR,
VNA.DE,stock,XETR,
SY1.DE,stock,XETR,
QGEN,stock,NYSE,
QIA.DE,stock,XETR,
USDT-USD,crypto,Crypto,
PEPE-USD,crypto,Crypto,
FROTO,stock,BIST,
CIMSA,stock,BIST,
KCHOL,stock,BIST,
SASA,stock,BIST,
BTI,stock,NYSE,
HMC,stock,NYSE,
CB,stock,NYSE,
WLD-USD,crypto,Crypto,
FFIE,stock,NASDAQ,
USD/TWD,forex,Forex,
EUR/TWD,forex,Forex,
HHP.TW,stock,TWSE,
GALP,stock,Euronext Lisbon,
GBTC,etf,NYSE,
CLH,stock,NYSE,
UEC,stock,NYSE,
NVDY,stock,NYSE,
CONY,stock,NYSE,
SHOO,stock,NASDAQ,
SSL,stock,NYSE,
RENAME,crypto,Crypto,
CPR,stock,MTA,
RTX,stock,NYSE,
TSM,stock,NYSE,
MDT,stock,NYSE,
PNC,stock,NYSE,
DVN,stock,NYSE,
CMCSA,stock,NASDAQ,
FCT.MI,stock,MTA,
VSEH,moex,MOEX,
SMCI,stock,NASDAQ,
LDO.MI,stock,MTA,
ZAPP,stock,NASDAQ,
YDEX,moex,MOEX,
PETRONAS,stock,MYX,
LLY,stock,NYSE,
TGT,stock,NYSE,
SHEL.L,stock,LSE,
BKG.L,stock,LSE,
DOWA,stock,JPX,
KAWA,stock,JPX,
TDH,stock,JPX,
MANU,stock,NYSE,
ETHA,stock,NASDAQ,
ETHE,stock,OTC,
TAO-USD,crypto,Crypto,
POL-USD,crypto,Crypto,
BONK-USD,crypto,Crypto,
PONKE-USD,crypto,Crypto,
ONDO-USD,crypto,Crypto,
ELPE,stock,ASE,
DRS,stock,NASDAQ,
ITX.BME,stock,BME,
BTG,stock,NYSE,
NEM,stock,NYSE,
GOLD,stock,NYSE,
AEM.NYSE,stock,NYSE,
RGLD,stock,NASDAQ,
EQIX,stock,NASDAQ,
SNPS,stock,NASDAQ,
CEG,stock,NASDAQ,
UPB,stock,NASDAQ,
VST,stock,NYSE,
SMR,stock,NYSE,
IONQ,stock,NYSE,
AKT-USD,crypto,Crypto,
INDEX-USD,crypto,Crypto,
AIOZ-USD,crypto,Crypto,
MGROS,stock,BIST,
GLW,stock,NYSE,
EIGEN-USD,crypto,Crypto,
UNH,stock,NYSE,
QSI,stock,NASDAQ,
FLOKI-USD,crypto,Crypto,
SOUN,stock,NASDAQ,
TRUMP-USD,crypto,Crypto,
MELANIA-USD,crypto,Crypto,
A2A.MI,stock,MTA,
BZU.MI,stock,MTA,
BMPS.MI,stock,MTA,
UNI.MI,stock,MTA,
TEN.MI,stock,MTA,
BMED.MI,stock,MTA,
TIT.MI,stock,MTA,
PRY.MI,stock,MTA,
RYAAY,stock,NASDAQ,
BBAI,stock,NYSE,
RXRX,stock,NASDAQ,
MCG.JO,stock,JSE,
AXON,stock,NASDAQ,
CBRE,stock,NYSE,
HEI.DE,stock,XETR,
PUM.DE,stock,XETR,
ROLEXRINGS,stock,India NSE,
KAITO-USD,crypto,Crypto,
JAG.TSX,stock,TSX,
MDI.TSX,stock,TSX,
CAE.NY,stock,NYSE,
ERO,stock,NYSE,
CLS,stock,NYSE,
HO.PA,stock,Euronext Paris,
QTUM,stock,NASDAQ,
PAXG-USD,crypto,Crypto,
BAB.L,stock,LSE,
DCC.L,stock,LSE,
CW,stock,NYSE,
CRWV,stock,NASDAQ,
FORM-USD,crypto,Crypto,
OMC,stock,NYSE,
AERGO-USD,crypto,Crypto,
RAY-USD,crypto,Crypto,
XCN-USD,crypto,Crypto,
ASML,stock,NASDAQ,
ENGI.PA,stock,Euronext Paris,
RI.PA,stock,Euronext Paris,
EN.PA,stock,Euronext Paris,
RMS.PA,stock,Euronext Paris,
AZO,stock,NYSE,
PHYS,etf,NYSE,
JEPI,etf,NYSE,
GDX,etf,NYSE,
LSPD,stock,NYSE,
RGTI,stock,NASDAQ,
ADI,stock,NASDAQ,
SIGN-USD,crypto,Crypto,
PINS,stock,NYSE,
PENGU-USD,crypto,Crypto,
SUPER-USD,crypto,Crypto,
WISE.L,stock,LSE,
ETOR,stock,NASDAQ,
INGN,stock,NASDAQ,
MX,stock,NYSE,
SRE,stock,NYSE,
NBIS,stock,NASDAQ,
HIMS,stock,NYSE,
SAPR4,stock,Bovespa,
LIVECATTLE,commodity,Commodity LIVECATTLE,
MNR,stock,NYSE,
ISCTR,stock,BIST,
LUMIA-USD,crypto,Crypto,
DEEP-USD,crypto,Crypto,
GGP.L,stock,LSE,
CRCL,stock,NYSE,
GTLB,stock,NASDAQ,
CRSP,stock,NASDAQ,
OST,stock,NASDAQ,
HAG.DE,stock,XETR,
MET1.L,stock,LSE,
RBRK,stock,NYSE,
EQT,stock,NYSE,
ASTS,stock,NASDAQ,
SEI-USD,crypto,Crypto,
SAMSUNG,stock,KRX,
DOOSAN,stock,KRX,
HANWHA,stock,KRX,
HYUNDAI,stock,KRX,
NAVER,stock,KRX,
KAKAO,stock,KRX,
HANWHASOL,stock,KRX,
SKHYNIX,stock,KRX,
SAMSUNGHE,stock,KRX,
ECOPRO,stock,KRX,
ASR-USD,crypto,Crypto,
USDC-USD,crypto,Crypto,
WLFI-USD,crypto,Crypto,
ALTS,stock,NASDAQ,
OKLO,stock,NYSE,
UP,stock,NYSE,
VCYT,stock,NASDAQ,
HOOD,stock,NASDAQ,
KLAR,stock,NYSE,
GEMI,stock,NASDAQ,
AGX,stock,NYSE,
NTSK,stock,NASDAQ,
DEO,stock,NYSE,
PTRN,stock,NASDAQ,
B,stock,NYSE,
PONY,stock,NASDAQ,
FIG,stock,NYSE,
EUAD,stock,CBOE,
ROG.SW,stock,SIX,
GLRMK,stock,BIST,
WBD,stock,NASDAQ,
ADP,stock,NASDAQ,
KHC,stock,NASDAQ,
QBTS,stock,NYSE,
QS,stock,NYSE,
NOW,stock,NYSE,
ARKB,etf,CBOE,
EZU,etf,CBOE,
ITB,etf,CBOE,
UVXY,etf,CBOE,
FBTC,etf,CBOE,
FETH,etf,CBOE,
SQQQ,etf,NASDAQ,
AMLP,etf,NYSE,
DUST,etf,NYSE,
NUGT,etf,NYSE,
JDST,etf,NYSE,
XLF,etf,NYSE,
FXI,etf,NYSE,
EWZ,etf,NYSE,
EFA,etf,NYSE,
EEM,etf,NYSE,
EWJ,etf,NYSE,
IWM,etf,NYSE,
XHB,etf,NYSE,
XOP,etf,NYSE,
KRE,etf,NYSE,
XLK,etf,NYSE,
XLU,etf,NYSE,
VEA,etf,NYSE,
HEDJ,etf,NYSE,
DBEF,etf,NYSE,
ETH,etf,NYSE,
BTC,etf,NYSE,
XLE,etf,NYSE,
DXJ,etf,NYSE,
EPI,etf,NYSE,
UUUU,stock,NYSE,
