symbol,symbol_type,exchange_name,description
TRY/USD,forex,Forex,
SGD/USD,forex,Forex,
USD/CNH,forex,Forex,
GBP/USD,forex,Forex,
EUR/USD,forex,Forex,
USD/JPY,forex,Forex,
USD/CHF,forex,Forex,
CAD/JPY,forex,Forex,
GBP/CAD,forex,Forex,
USD/TRY,forex,Forex,
USD/SGD,forex,Forex,
AUD/JPY,forex,Forex,
PLN/USD,forex,Forex,
USD/BRL,forex,Forex,
UAH/USD,forex,Forex,
JPY/USD,forex,Forex,
NOK/USD,forex,Forex,
HUF/USD,forex,Forex,
SEK/USD,forex,Forex,
ZAR/USD,forex,Forex,
AUD/CAD,forex,Forex,
AUD/CHF,forex,Forex,
EUR/NZD,forex,Forex,
CAD/CHF,forex,Forex,
NZD/CHF,forex,Forex,
NZD/CAD,forex,Forex,
GBP/NZD,forex,Forex,
EUR/TRY,forex,Forex,
GBP/TRY,forex,Forex,
EUR/PLN,forex,Forex,
USD/CZK,forex,Forex,
EUR/RON,forex,Forex,
USD/RON,forex,Forex,
USD/ILS,forex,Forex,
EUR/ILS,forex,Forex,
GBP/ILS,forex,Forex,
USD/INR,forex,Forex,
HAYD,stock,Dev,
RIVN,stock,NASDAQ,
AAL,stock,NASDAQ,
AA,stock,NYSE,
ACB,stock,NASDAQ,
AAPL,stock,NASDAQ,
ADBE,stock,NASDAQ,
AMD,stock,NASDAQ,
AXP,stock,NYSE,
BA,stock,NYSE,
BABA,stock,NYSE,
BIDU,stock,NASDAQ,
BAC,stock,NYSE,
BLK,stock,NYSE,
CVS,stock,NYSE,
CRON,stock,NASDAQ,
CVX,stock,NYSE,
FB,stock,Dev,
F,stock,NYSE,
GE,stock,NYSE,
GM,stock,NYSE,
GPRO,stock,NASDAQ,
HD,stock,NYSE,
GS,stock,NYSE,
HOG,stock,NYSE,
INTC,stock,NASDAQ,
MA,stock,NYSE,
JPM,stock,NYSE,
LYFT,stock,NASDAQ,
MCD,stock,NYSE,
KO,stock,NYSE,
IBM,stock,NYSE,
LMT,stock,NYSE,
LEVI,stock,NYSE,
MRK,stock,NYSE,
MMM,stock,NYSE,
MS,stock,NYSE,
NKE,stock,NYSE,
PEP,stock,NASDAQ,
NFLX,stock,NASDAQ,
PG,stock,NYSE,
NVDA,stock,NASDAQ,
PM,stock,NYSE,
PYPL,stock,NASDAQ,
SBUX,stock,NASDAQ,
RACE,stock,NYSE,
SPOT,stock,NYSE,
TSLA,stock,NASDAQ,
TME,stock,NYSE,
TWTR,stock,NYSE,
V,stock,NYSE,
WMT,stock,NYSE,
XOM,stock,NYSE,
YNDX,stock,NASDAQ,
STZ,stock,NYSE,
PFE,stock,NYSE,
AIR,stock,NYSE,
GILD,stock,NASDAQ,
DAL,stock,NYSE,
QIWI,stock,NASDAQ,
SIBN,stock,NASDAQ,
CRBP,stock,NASDAQ,
AGM,stock,NYSE,
CSCO,stock,NASDAQ,
SNOW,stock,NYSE,
C,stock,NYSE,
CCL,stock,NYSE,
H,stock,NYSE,
HLT,stock,NYSE,
NCLH,stock,NYSE,
RCL,stock,NYSE,
OZON,stock,NASDAQ,
ALB,stock,NYSE,
AYRO,stock,NASDAQ,
BLNK,stock,NASDAQ,
FMC,stock,NYSE,
LAC,stock,NYSE,
LTHM,stock,NYSE,
NIO,stock,NYSE,
PLL,stock,NASDAQ,
SOLO,stock,NASDAQ,
WKHS,stock,NASDAQ,
AMZN,stock,NASDAQ,
CAT,stock,NYSE,
DIS,stock,NYSE,
GOOGL,stock,NASDAQ,
HPQ,stock,NYSE,
JNJ,stock,NYSE,
MSFT,stock,NASDAQ,
MU,stock,NASDAQ,
SNAP,stock,NYSE,
NVAX,stock,NASDAQ,
